Title,Artists,Positions,Performer Gender
'Til You Can't,Cody Johnson,2022#34,male
1-800-273-8255,Logic Featuring Alessia Cara & Khalid,2017#31/2018#84,mixed
"10,000 Hours",Dan + Shay & Justin Bieber,2020#23,male
2 Phones,Kevin Gates,2016#57,male
20 Cigarettes,Morgan Wallen,2025#90,male
24K Magic,Bruno Mars,2017#16,male
30 For 30,SZA With Kendrick Lamar,2025#21,mixed
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021#21,female
5 Foot 9,Tyler Hubbard,2022#67,male
679,Fetty Wap Featuring Remy Boyz,2016#54,male
7 Rings,Ariana Grande,2019#7,female
7 Years,Lukas Graham,2016#12,male
A Bar Song (Tipsy),Shaboozey,2024#2/2025#3,male
A Holly Jolly Christmas,Burl Ives,2022#89/2023#71/2024#94,male
A Lot,21 Savage,2019#42,male
AA,Walker Hayes,2022#61,male
abcdefu,GAYLE,2022#17,female
About Damn Time,Lizzo,2022#12,female
Abracadabra,Lady Gaga,2025#56,female
Act II: Date @ 8,4batz Featuring Drake,2024#80,male
Act Up,City Girls,2019#68,female
Adore You,Harry Styles,2020#6,male
Adventure Of A Lifetime,Coldplay,2016#95,male
After All The Bars Are Closed,Thomas Rhett,2025#88,male
Agora Hills,Doja Cat,2024#17,female
Ain't No Love In Oklahoma,Luke Combs,2024#37,male
Ain't That Some,Morgan Wallen,2023#92,male
All I Want For Christmas Is You,Mariah Carey,2020#67/2021#78/2022#65/2023#55/2024#54/2025#59,female
All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,2016#93,mixed
All My Life,Lil Durk Featuring J. Cole,2023#25,male
All The Stars,Kendrick Lamar & SZA,2018#47,mixed
All The Way,BigXthaPlug Featuring Bailey Zimmerman,2025#33,male
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",2016#87,mixed
All Time Low,Jon Bellion,2017#75,male
All To Myself,Dan + Shay,2019#97,male
All Too Well (Taylor's Version),Taylor Swift,2022#76,female
Am I Okay?,Megan Moroney,2025#66,female
Anti-Hero,Taylor Swift,2023#4,female
Antidote,Travis Scott,2016#75,male
Anxiety,Doechii,2025#39,female
Anyone,Justin Bieber,2021#74,male
APT.,ROSE & Bruno Mars,2025#9,mixed
Arcade,Duncan Laurence,2021#82,male
Area Codes,Kaliii,2023#88,female
As It Was,Harry Styles,2022#2/2023#15,male
Astronaut In The Ocean,Masked Wolf,2021#20,male
Attention,Charlie Puth,2017#22,male
Austin,Dasha,2024#27,female
Baby,Lil Baby & DaBaby,2019#84,male
Baby Shark,Pinkfong,2019#75,female
Back In Blood,Pooh Shiesty Featuring Lil Durk,2021#39,male
Back To Friends,sombr,2025#44,male
Back To Sleep,Chris Brown,2016#89,male
Back To You,Selena Gomez,2018#41,female
Backup Plan,Bailey Zimmerman & Luke Combs,2025#80,male
Bad And Boujee,Migos Featuring Lil Uzi Vert,2017#6,mixed
Bad At Love,Halsey,2018#27,female
Bad Dreams,Teddy Swims,2025#74,male
Bad Guy,Billie Eilish,2019#4/2020#46,female
Bad Habit,Steve Lacy,2022#28/2023#39,male
Bad Habits,Ed Sheeran,2021#15/2022#13,male
Bad Things,Machine Gun Kelly x Camila Cabello,2017#41,mixed
Baile Inolvidable,Bad Bunny,2025#70,male
Ballin',Mustard & Roddy Ricch,2020#25,male
Bam Bam,Camila Cabello Featuring Ed Sheeran,2022#66,mixed
Bandit,Juice WRLD & YoungBoy Never Broke Again,2020#63,male
Bang!,AJR,2021#56,male
Bank Account,21 Savage,2017#48,male
Barbie World,Nicki Minaj & Ice Spice With Aqua,2023#46,mixed
Bartier Cardi,Cardi B Featuring 21 Savage,2018#61,mixed
Be Alright,Dean Lewis,2019#54,male
Be Careful,Cardi B,2018#59,female
Be Like That,Kane Brown With Swae Lee & Khalid,2020#88,male
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021#44,male
Beautiful,Bazzi Featuring Camila Cabello,2019#95,mixed
Beautiful Crazy,Luke Combs,2019#46,male
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,2021#34,mixed
Beautiful People,Ed Sheeran Featuring Khalid,2019#50,male
Beautiful Things,Benson Boone,2024#3/2025#6,male
Bebe Dame,Fuerza Regida X Grupo Frontera,2023#73,male
Bed Chem,Sabrina Carpenter,2025#45,female
Beer Never Broke My Heart,Luke Combs,2019#63,male
Before You Go,Lewis Capaldi,2020#21,male
Beggin',Maneskin,2021#66,mixed
Believer,Imagine Dragons,2017#9/2018#100,male
Best Friend,Saweetie Featuring Doja Cat,2021#29,female
Better,Khalid,2019#20,male
Better Days,NEIKED X Mae Muller X Polo G,2022#73,mixed
Better Now,Post Malone,2018#13/2019#32,male
Better Together,Luke Combs,2021#57,male
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",2018#63,mixed
Big Energy,Latto,2022#7,female
Birds Of A Feather,Billie Eilish,2024#15/2025#5,female
Black Beatles,Rae Sremmurd Featuring Gucci Mane,2017#19,male
Blinding Lights,The Weeknd,2020#1/2021#3,male
Bloody Mary,Lady Gaga,2023#99,female
Blue Strips,Jessie Murph,2025#52,female
Blueberry Faygo,Lil Mosey,2020#27,male
Bluebird,Miranda Lambert,2020#91,female
BMF,SZA,2025#76,female
